t,y1(t) = t/1000 = y1(t-1)+0.001,y2(t)=y2(t-1)*0.999,y3(t)=y1(t)+y2(t),y4(t) = y4(t-1)-0.001,y5(t)=y1(t)*t%2+y4(t)*(1-t%2)
958,"0,958","0,3834755866","1,341475587","0,042","0,042"
959,"0,959","0,383092111","1,342092111","0,041","0,959"
960,"0,96","0,3827090189","1,342709019","0,04","0,04"
961,"0,961","0,3823263099","1,34332631","0,039","0,961"
962,"0,962","0,3819439836","1,343943984","0,038","0,038"
963,"0,963","0,3815620396","1,34456204","0,037","0,963"
964,"0,964","0,3811804776","1,345180478","0,036","0,036"
965,"0,965","0,3807992971","1,345799297","0,035","0,965"
966,"0,966","0,3804184978","1,346418498","0,034","0,034"
967,"0,967","0,3800380793","1,347038079","0,033","0,967"
968,"0,968","0,3796580412","1,347658041","0,032","0,032"
969,"0,969","0,3792783832","1,348278383","0,031","0,969"
970,"0,97","0,3788991048","1,348899105","0,03","0,03"
971,"0,971","0,3785202057","1,349520206","0,029","0,971"
972,"0,972","0,3781416855","1,350141685","0,028","0,028"
973,"0,973","0,3777635438","1,350763544","0,027","0,973"
974,"0,974","0,3773857803","1,35138578","0,026","0,026"
975,"0,975","0,3770083945","1,352008394","0,025","0,975"
976,"0,976","0,3766313861","1,352631386","0,024","0,024"
977,"0,977","0,3762547547","1,353254755","0,023","0,977"
978,"0,978","0,3758784999","1,3538785","0,022","0,022"
979,"0,979","0,3755026214","1,354502621","0,021","0,979"
980,"0,98","0,3751271188","1,355127119","0,02","0,02"
981,"0,981","0,3747519917","1,355751992","0,019","0,981"
982,"0,982","0,3743772397","1,35637724","0,018","0,018"
983,"0,983","0,3740028625","1,357002862","0,017","0,983"
984,"0,984","0,3736288596","1,35762886","0,016","0,016"
985,"0,985","0,3732552308","1,358255231","0,015","0,985"
986,"0,986","0,3728819755","1,358881976","0,014","0,014"
987,"0,987","0,3725090935","1,359509094","0,013","0,987"
988,"0,988","0,3721365845","1,360136584","0,012","0,012"
989,"0,989","0,3717644479","1,360764448","0,011","0,989"
990,"0,99","0,3713926834","1,361392683","0,01","0,01"
991,"0,991","0,3710212907","1,362021291","0,009","0,991"
992,"0,992","0,3706502694","1,362650269","0,008","0,008"
993,"0,993","0,3702796192","1,363279619","0,007","0,993"
994,"0,994","0,3699093396","1,36390934","0,006","0,006"
995,"0,995","0,3695394302","1,36453943","0,005","0,995"
996,"0,996","0,3691698908","1,365169891","0,004","0,004"
997,"0,997","0,3688007209","1,365800721","0,003","0,997"
998,"0,998","0,3684319202","1,36643192","0,002","0,002"
999,"0,999","0,3680634883","1,367063488","0,001","0,999"
1000,1,"0,3676954248","1,367695425",0,0
